id,redHSV,yellowHSV,greenHSV,cyanHSV,blueHSV,magentaHSV,redMean,greenMean,blueMean,redStdDev,greenStdDev,blueStdDev,skySegmentationPercent,pavementSegmentationPercent,waterSegmentationPercent,vegetationSegmentationPercent,buildingSegmentationPercent,otherSegmentationPercent,concreteSurface,grassSurface,asphaltSurface,woodSurface,brickSurface,gravelSurface,tilesSurface,rubber,buildingShade,treeShade,shadeProvision,restSpotOutdoorFurniture,waterFeature,thermalRatio
41,0.01441985,0.471041667,0.274152199,0.228464024,0.011026235,0.000896026,115.2975183,121.0250772,107.4890365,67.67732094,65.35777355,68.49046776,0.035011574,8.24300733,8.069010417,8.263406636,74.16194059,1.227623457,False,False,False,False,False,False,True,False,False,True,False,False,True,29.1
42,0.004149788,0.107878569,0.287478781,0.514515336,0.08403887,0.001938657,104.0547719,127.3001861,121.8066903,78.56833054,72.46012622,80.57952893,18.3323206,15.9719811,0.0,57.73524306,7.960455247,0.0,True,True,False,False,False,False,False,False,False,True,False,False,False,0.0
43,0.0534674,0.279793596,0.23200762,0.344284336,0.087404032,0.003043017,109.0454601,117.8987047,106.0714762,77.18256078,72.32886571,72.58320567,13.15779321,28.41261574,0.0,53.37644676,3.966290509,1.086853781,True,True,False,False,False,False,False,False,False,True,False,False,False,34.9
44,0.012125289,0.265720968,0.167384742,0.478068094,0.0731549,0.003546007,107.3850304,116.8057644,109.6389304,66.88880956,62.77017134,62.92197572,0.261959877,21.21759259,0.0,15.54089506,58.88213735,4.097415123,False,False,False,False,False,False,True,False,True,False,False,True,False,30.0
45,0.01115789,0.31675733,0.230640432,0.412722801,0.0281549,0.000566647,123.8250236,136.920503,115.4773963,67.35359198,64.69566125,75.74456944,1.042438272,18.46590471,0.0,47.22096836,33.24503279,0.025655864,False,True,False,False,False,False,True,False,False,False,False,False,False,56.9
46,0.00835407,0.483098958,0.134909336,0.372777296,0.000797164,6.32e-05,117.1322748,126.5530208,103.8809703,65.6457358,64.40724002,74.58130026,2.098283179,11.75149498,0.0,40.9733314,45.17684221,4.82e-05,True,True,False,False,False,False,False,False,False,True,False,False,False,99.4
47,0.018344907,0.261216242,0.146657022,0.416882716,0.156419753,0.00047936,133.9339564,144.808235,143.6152339,68.18187532,67.53301372,73.70898876,20.55999228,22.79089506,0.0,10.82325424,45.49358603,0.332272377,True,False,False,False,False,False,False,False,True,False,True,False,False,76.7
48,0.007497106,0.640424865,0.195067998,0.121027199,0.035222319,0.000760513,104.4825651,113.5653901,80.66258873,65.54670011,63.84993569,70.37485946,3.352527006,16.175299,0.0,68.08931327,2.287278164,10.09558256,False,False,False,False,False,False,True,False,False,True,False,False,False,51.8
49,0.010940394,0.433774595,0.129981192,0.314694252,0.110474055,0.000135513,121.9995964,134.0885667,128.2674633,66.89041915,66.93005914,77.38237033,10.54070216,21.05531443,0.0,20.39057677,47.31949267,0.693913966,False,False,False,False,False,False,True,False,True,True,True,False,False,87.8
50,0.081283275,0.448445216,0.239354745,0.18013696,0.044992284,0.005787519,113.6519179,122.9942636,99.3028559,64.86501449,62.54681724,62.32756336,2.427903164,5.799093364,0.0,88.48201196,3.290991512,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,1.1
